epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.2906,1.6436,2.133,0.30101,0.0125,0.01617,0.00422,2.1714,1.9863,2.5537,0.097003,3.00E-06,3.00E-06
2,1.9754,1.4354,1.9344,0.74024,0.275,0.26347,0.12805,1.5095,1.5547,1.5972,0.093007,6.97E-06,6.97E-06
3,1.3856,0.92098,1.2988,0.35025,0.36429,0.29179,0.18789,1.3165,1.6342,1.5041,0.089011,1.09E-05,1.09E-05
4,1.2674,0.67529,1.2482,0.35053,0.35714,0.33623,0.24398,1.2022,0.84388,1.3597,0.085015,1.48E-05,1.48E-05
5,1.1638,0.57517,1.1625,0.40078,0.53035,0.45792,0.30887,1.2565,0.69815,1.3571,0.081019,1.87E-05,1.87E-05
6,1.1174,0.47791,1.1256,0.54078,0.54084,0.54203,0.36488,1.3165,0.6877,1.3747,0.077023,2.25E-05,2.25E-05
7,1.0896,0.45173,1.1155,0.4753,0.69464,0.52441,0.36731,1.1821,0.6101,1.2898,0.073026,2.64E-05,2.64E-05
8,1.0045,0.38938,1.0789,0.61504,0.49211,0.58483,0.42515,1.1643,0.57655,1.3365,0.06903,3.01E-05,3.01E-05
9,1.0307,0.40959,1.0974,0.56693,0.53349,0.57218,0.37824,1.2746,0.54704,1.4407,0.065034,3.39E-05,3.39E-05
10,0.97418,0.40243,1.0715,0.68793,0.65159,0.72237,0.52829,1.0161,0.4501,1.2776,0.061038,3.76E-05,3.76E-05
11,0.9622,0.31192,1.0268,0.66671,0.67781,0.71309,0.5042,1.1014,0.48932,1.3007,0.057041,4.13E-05,4.13E-05
12,0.92478,0.32671,1.0138,0.57703,0.66071,0.61409,0.44488,1.1422,0.55992,1.2722,0.053045,4.50E-05,4.50E-05
13,0.91075,0.29409,1.0164,0.79748,0.77479,0.81376,0.59813,0.94577,0.41246,1.1505,0.049049,4.86E-05,4.86E-05
14,0.92877,0.28223,1.0027,0.9173,0.75357,0.85213,0.62076,0.91283,0.39146,1.1442,0.045052,5.22E-05,5.22E-05
15,0.92544,0.28766,1.0521,0.95546,0.72221,0.8635,0.59974,0.96441,0.35631,1.1615,0.041056,5.57E-05,5.57E-05
16,0.89549,0.28984,0.99761,0.8831,0.76429,0.86343,0.58845,1.0043,0.35963,1.1908,0.037059,5.93E-05,5.93E-05
17,0.87911,0.2589,0.9956,0.90925,0.7125,0.84314,0.60325,0.94113,0.35194,1.1747,0.033063,6.28E-05,6.28E-05
18,0.86311,0.25584,0.99085,0.91016,0.69989,0.83239,0.61163,0.90107,0.38312,1.1757,0.029066,6.62E-05,6.62E-05
19,0.79578,0.23718,0.98874,0.84087,0.72679,0.83772,0.58898,0.91333,0.42456,1.1992,0.02507,6.97E-05,6.97E-05
